id,age,bill_amt1,bill_amt2,bill_amt3,bill_amt4,bill_amt5,bill_amt6,default_payment_next_month,education,limit_bal,marriage,pay_0,pay_2,pay_3,pay_4,pay_5,pay_6,pay_amt1,pay_amt2,pay_amt3,pay_amt4,pay_amt5,pay_amt6,sex
21311,52,3997,2522,0,1919,2658,2497,1,3,30000,1,1,2,2,-1,0,0,0,0,1919,2000,1100,201,1
29116,59,8803,11137,10672,11201,12721,11946,1,2,20000,1,3,2,3,2,2,4,2800,0,1000,2000,0,0,2
8582,38,11421,6060,4180,1833,511,6635,0,2,270000,2,-2,-2,-2,-2,-2,-2,2000,1000,2,1,6668,1026,2
11405,24,36904,34372,38496,37580,38820,39693,0,1,40000,2,0,0,0,2,0,0,1600,6700,0,2000,1700,1400,1
25528,33,-216,2784,5723,8607,8336,10209,0,2,10000,2,-2,-1,0,0,2,2,3000,3000,3000,0,2000,0,2
29093,52,290122,274868,280828,286702,293038,299317,0,2,200000,1,0,0,0,0,0,0,7100,7500,7500,8000,8000,4500,2
5834,26,27330,28090,28827,27299,29110,28492,0,2,30000,1,1,2,2,0,0,2,1500,1517,1000,2255,0,1988,2
15865,29,27030,23830,24943,27507,30767,29762,0,2,30000,1,0,0,0,0,0,2,2379,1500,3000,3722,0,1543,2
8877,37,25234,23518,21746,18082,18461,18830,0,2,50000,1,0,0,0,0,0,0,1384,1300,700,670,676,700,2
17395,37,1324,0,0,0,0,0,0,1,200000,1,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,2
8955,44,80015,19386,39008,19483,32901,8790,0,3,150000,1,0,-1,-1,0,0,0,19418,40010,19,20000,0,13669,1
3156,38,1008,228,0,0,0,0,0,1,300000,1,-1,-1,-1,-2,-2,-2,228,0,0,888,0,0,2
21115,49,376186,389822,401982,410694,407436,407809,0,1,480000,1,0,0,0,0,0,0,20000,18000,15000,15000,14000,13000,1
7184,21,13717,9058,0,0,0,0,0,2,20000,2,0,0,0,-2,-2,-2,1005,0,0,0,0,0,2
11471,25,5378,6482,7308,5736,6236,-764,0,2,10000,2,0,0,0,0,0,0,1200,1000,115,500,180,5000,1
3654,51,93970,93752,92293,92434,95478,40514,0,3,100000,1,0,0,0,0,0,0,3799,3269,3407,5024,5056,5135,1
20858,41,171929,157860,145044,137480,6320,780,1,3,200000,1,0,0,0,0,0,0,7000,8080,6000,0,0,0,1
27084,29,46758,31422,33619,23553,9398,4296,0,1,320000,2,0,0,0,-1,-1,-1,2563,9842,24709,6022,4318,4522,1
1660,22,14562,5991,6870,0,2734,0,0,3,20000,2,0,0,0,0,-1,-1,1121,1000,0,1367,0,0,2
25779,46,0,0,194,1375,13970,1672,0,2,300000,1,1,-2,-1,0,-1,-1,0,194,1181,14039,1679,4156,2
28955,37,19149,20103,21543,22765,23374,24134,0,1,200000,2,0,0,0,0,0,0,1500,2000,1500,1200,1200,1200,2
2314,28,236772,201463,187916,149293,150614,150911,0,1,240000,2,0,0,0,0,0,0,10000,7000,10040,7000,6000,5000,2
28855,37,198839,187955,163120,140383,121771,102568,0,1,360000,2,0,0,0,0,0,0,7000,8071,7029,3011,4000,9000,2
28341,40,390,390,2974,2376,5262,4401,1,3,20000,3,-1,-1,-1,2,-1,0,390,2974,0,5262,88,1612,2
15289,28,9582,6803,7198,6975,9356,3697,0,1,300000,2,0,0,0,-1,-1,-2,1818,7217,7023,9383,3714,6546,2
4978,44,7500,8500,7500,7500,7500,7500,0,1,320000,1,-1,-1,-1,-1,-1,-1,8500,7500,7500,7500,7500,7500,1
11692,33,67139,60995,62728,63223,63011,43156,0,1,450000,1,0,0,0,0,0,0,3000,3000,2000,8110,2600,2000,2
25397,26,1121,699,3131,5180,1780,0,0,2,300000,2,-1,-1,-1,-1,-1,-1,699,3152,5180,1780,0,6200,2
14938,22,72222,73859,75427,76587,78711,80510,0,1,100000,2,2,0,0,0,0,0,3400,3400,3000,3500,3200,2000,2
28841,33,76922,-694,-694,-694,-694,-694,1,3,300000,2,-1,-1,-2,-2,-2,-2,0,0,0,0,0,5000,2
24823,31,3580,0,0,0,7108,1300,0,1,180000,2,-2,-2,-2,-2,-2,-2,0,0,0,7108,1300,0,1
15439,26,0,0,0,0,0,0,0,3,50000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
11903,28,2013,1837,3831,2825,1970,1735,0,2,20000,2,1,2,2,2,0,0,0,2212,0,0,175,0,1
3758,27,-200,-200,-200,-200,-200,-200,1,1,180000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,2
28025,32,227689,206249,182985,186047,188389,191907,0,3,360000,1,0,0,0,0,0,0,7142,8200,7600,6200,6000,7000,2
15436,23,13284,13987,15958,16168,16268,16600,0,2,20000,2,0,0,0,2,0,0,1229,2200,900,500,332,2000,1
898,28,131864,133897,129761,138604,136283,145012,1,1,170000,2,2,2,2,2,2,2,5600,0,11000,0,11000,5656,2
19300,37,308011,302783,297700,298224,338565,288924,0,1,370000,2,0,0,0,0,0,0,10404,10015,16502,60003,15008,20000,2
11928,27,825,825,-6042,-6867,-8692,54375,0,1,80000,2,-1,-1,-1,-2,-2,-1,825,0,0,0,150000,10000,2
5226,24,57693,55760,59007,56492,57565,56569,0,1,60000,2,0,0,0,2,0,0,2700,4800,0,2100,2200,2500,2
3133,54,105365,108702,108486,94119,18809,40619,1,2,80000,1,0,0,0,0,0,-1,5030,2698,2172,376,40619,25311,1
24068,27,45443,55567,65753,65379,65467,64596,0,3,110000,2,0,0,0,0,0,0,15567,15753,5379,5467,4596,3405,1
25720,45,3401,2655,1064,530,822,2222,0,1,360000,1,-2,-2,-2,-2,-2,-2,2655,1064,530,822,2222,788,2
22988,38,2431,29426,5288,1823,19879,1974,0,1,80000,2,-2,-2,-2,-2,-2,-2,31386,5296,1823,19884,1974,9686,2
15651,36,5788,5802,14562,6930,5958,1448,0,2,100000,1,-1,0,-1,-1,-1,-1,1600,14562,6969,5958,1448,101434,2
20540,28,0,0,0,0,0,0,0,1,300000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
27567,52,15420,16927,16432,18019,17501,18786,0,2,100000,1,1,2,2,2,2,2,2000,0,2100,0,1500,0,1
12265,28,0,0,0,0,0,0,0,2,360000,1,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,2
491,32,573,0,0,0,0,0,0,2,90000,2,-2,-2,-2,-2,-2,-2,157,0,0,0,0,0,2
27630,23,8690,9500,0,0,0,0,0,2,130000,2,0,0,0,-2,-2,-2,1000,0,0,0,0,0,2
17343,33,2446,326,0,28776,0,0,0,1,120000,2,-1,-1,-1,-1,-1,-2,326,0,28776,0,0,0,2
27695,25,27232,26777,27129,26613,26057,25924,0,3,50000,2,0,0,0,0,0,0,1439,1464,1401,908,935,924,2
19557,29,15361,18274,17697,18416,20099,21631,1,2,30000,1,2,2,2,0,0,2,3175,0,1317,2000,2000,0,2
28028,32,0,0,0,262,0,1389,0,2,240000,1,1,-2,-2,-1,-1,-1,0,0,262,0,1389,0,2
19789,41,0,5848,0,8839,62140,6647,0,1,260000,1,1,-1,-1,-1,-1,-1,5848,0,8839,62140,6647,7573,2
3407,26,47642,40779,34570,33153,24969,22893,0,1,170000,2,0,0,0,0,0,0,4000,2006,1000,1000,1000,1000,2
29649,34,5250,-3,988,6420,7174,-19,0,1,320000,2,-2,-2,-2,-2,-2,-2,0,991,6452,9757,0,3995,1
9882,29,59235,47091,34901,33953,34188,35444,0,2,470000,2,0,0,0,0,0,0,3106,5017,3007,2001,2093,10076,1
2217,36,10700,890,0,0,0,0,0,1,300000,2,-1,-1,-1,-2,-2,-2,890,0,0,0,0,0,2
29970,33,110006,76950,63834,56768,58826,67577,0,2,200000,1,0,0,0,0,0,0,5000,2183,2059,3000,9751,3000,1
7462,52,91656,87106,48730,27535,27751,29923,0,1,90000,2,0,0,0,0,0,0,5110,2000,3000,1000,3000,3000,1
11232,31,4560,7302,9011,11540,14180,15307,0,1,50000,2,0,0,0,0,0,0,3000,2000,3000,3000,2000,5000,1
5274,42,56166,58022,61331,55566,59331,60569,1,2,60000,1,0,0,0,2,2,2,2760,4941,0,4675,2361,0,2
3257,24,75444,80025,78129,82581,81053,79133,1,2,80000,2,2,2,3,2,3,2,6400,0,6300,0,0,5000,2
1773,26,32023,20233,0,0,0,0,0,3,180000,1,0,0,0,-2,-2,-2,10000,0,0,0,0,0,2
16347,45,6369,390,3060,780,2079,0,1,1,70000,1,1,2,-1,2,-1,-1,0,3450,0,2079,0,0,2
7804,36,26244,27068,28383,29018,29671,-2000,0,2,130000,1,0,0,0,0,0,0,1550,1769,1404,1493,0,4720,2
15827,27,48407,47760,45064,45744,43123,42343,1,2,50000,2,2,2,2,2,2,0,2100,0,3400,0,1528,3038,2
24531,36,1772,9619,-6,-6,-6,-6,0,1,30000,2,-1,-1,-1,-2,-2,-2,9647,0,0,0,0,2011,1
20086,49,79967,75920,73968,71919,59894,59405,0,3,80000,1,0,0,0,0,0,0,2700,2875,3000,3000,4000,2500,2
25114,57,46540,48520,47875,48110,18576,15339,0,2,50000,1,0,0,0,0,0,0,2770,2100,1300,700,1000,1000,1
29230,24,18684,19690,21021,22067,22896,23873,0,2,50000,2,0,0,0,0,0,0,1323,1654,1700,1500,1500,1000,1
4452,25,8341,10039,11560,16611,18179,19712,1,1,30000,2,0,0,0,0,0,0,2000,2000,5611,2000,2000,1500,2
3938,30,41259,40715,43153,43845,44795,45710,0,1,60000,2,1,2,2,2,2,2,400,3406,1700,1800,1800,0,2
21749,25,3639,396,396,396,396,396,0,2,130000,2,-1,-1,-1,-1,-1,-1,396,396,396,396,396,396,2
21960,28,6121,4391,6269,8992,4314,11131,0,1,150000,2,0,-1,-1,0,0,0,4391,6269,8914,4300,11100,52900,2
2366,49,60273,61839,62370,63429,26779,27521,1,3,130000,2,2,0,0,0,0,0,2536,1857,1681,971,1186,1698,1
28121,44,138701,140009,143053,145695,143705,133883,0,1,180000,1,0,0,0,0,0,0,5100,5297,5128,4869,4960,5177,2
21878,24,28872,30083,31119,32597,33257,35061,0,1,140000,2,0,0,0,0,0,0,2000,1522,2000,1500,2500,2000,2
2013,40,18278,17696,19008,19083,21871,21236,1,2,20000,2,2,2,0,0,0,3,0,1612,687,3100,0,0,2
6868,29,47373,48076,23459,16175,17753,18302,0,2,50000,2,0,0,0,0,0,0,2000,2083,2000,2000,1000,1000,1
29976,41,45075,8840,1369,5924,1759,1824,0,2,220000,1,0,0,-1,-1,-2,-2,8840,6643,5924,1759,1824,7022,1
20967,44,162773,158557,158098,153896,152053,128253,0,1,360000,1,0,0,0,0,0,0,5676,6019,5315,4975,4701,4516,1
29348,27,19388,18807,18235,18654,18073,17501,0,2,20000,2,1,6,5,4,4,3,0,0,1000,0,0,0,1
27517,55,15793,16823,17848,27843,19352,19938,0,2,20000,1,0,0,0,0,0,0,1300,1302,1320,1137,1000,510,1
19498,34,0,149,0,0,0,0,0,5,180000,2,1,-1,-1,-2,-2,-2,149,0,0,0,0,0,2
3138,34,128312,119084,62922,60196,58935,58654,0,2,140000,2,0,0,0,0,0,0,5000,2200,2300,2300,2100,2000,1
13995,36,598,598,168,1449,916,2133,1,1,160000,2,-1,3,2,-1,2,-1,0,0,1449,0,2133,0,2
20572,27,0,0,0,0,0,0,0,3,10000,2,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,1
373,34,34302,35089,43449,42451,49718,48767,0,1,90000,2,0,0,0,2,2,2,1640,9000,0,8000,0,2000,2
22855,34,9728,11099,8761,8289,6980,5571,0,3,100000,1,0,0,0,0,0,-1,5000,1333,3000,3000,5571,5149,2
26751,28,15648,2008,-4291,-4291,-4291,-4291,0,1,210000,2,-2,-2,-2,-2,-2,-2,2500,0,0,0,0,0,1
15179,25,28276,29305,30336,28800,9852,2160,0,2,90000,2,0,0,0,0,-1,-1,1505,1536,1000,9852,2160,400,2
672,34,12857,14183,14890,15642,16387,17113,1,2,20000,1,0,0,0,0,0,0,1541,1248,1000,1000,1000,1000,1
3356,48,363191,373421,363343,290371,289600,288256,0,2,380000,1,0,0,0,0,0,0,15504,14000,12500,12000,11000,14000,2
19889,48,14203,15215,16544,17250,17604,19993,0,3,20000,1,0,0,0,0,0,0,1252,1581,1287,641,2684,0,2
21143,36,45010,45785,36131,29374,27059,27627,0,1,50000,2,0,0,0,0,0,0,1919,1789,1442,967,1003,1030,1
16972,58,14628,15638,16383,17837,15791,15988,0,3,50000,2,-1,0,0,0,0,0,1558,1303,1757,711,600,1500,1
18804,26,134235,62483,62134,61797,57312,57582,0,1,270000,2,0,0,0,0,0,0,6000,2500,3000,7475,3000,2500,2
1415,25,28206,122212,117835,112705,111357,108306,0,2,420000,2,-1,0,0,0,0,0,100000,4013,3822,4086,3800,3600,2
20920,36,45960,44883,40820,33545,46832,24101,1,1,50000,2,2,2,0,0,0,0,0,1973,1784,845,1750,1010,1
